a,b,c,fa,fb,fc,error
0,1,0.5,-1,0.5,-0.207107,0.5
0.5,1,0.75,-0.207107,0.5,0.155396,0.25
0.5,0.75,0.625,-0.207107,0.155396,-0.0234198,0.125
0.625,0.75,0.6875,-0.0234198,0.155396,0.0665711,0.0625
0.625,0.6875,0.65625,-0.0234198,0.0665711,0.0217245,0.03125
0.625,0.65625,0.640625,-0.0234198,0.0217245,-0.000810008,0.015625
0.640625,0.65625,0.648438,-0.000810008,0.0217245,0.0104666,0.0078125
0.640625,0.648438,0.644531,-0.000810008,0.0104666,0.00483065,0.00390625
0.640625,0.644531,0.642578,-0.000810008,0.00483065,0.00201091,0.00195312
0.640625,0.642578,0.641602,-0.000810008,0.00201091,0.000600596,0.000976562
0.640625,0.641602,0.641113,-0.000810008,0.000600596,-0.000104669,0.000488281
0.641113,0.641602,0.641357,-0.000104669,0.000600596,0.000247972,0.000244141
0.641113,0.641357,0.641235,-0.000104669,0.000247972,7.16538e-05,0.00012207
0.641113,0.641235,0.641174,-0.000104669,7.16538e-05,-1.65072e-05,6.10352e-05
0.641174,0.641235,0.641205,-1.65072e-05,7.16538e-05,2.75735e-05,3.05176e-05
0.641174,0.641205,0.64119,-1.65072e-05,2.75735e-05,5.53319e-06,1.52588e-05
0.641174,0.64119,0.641182,-1.65072e-05,5.53319e-06,-5.48699e-06,7.62939e-06
